idx,file_name_list,speakers,visual_features,acoustic_features,lexical_features,emotion_labels
0,Ses01F_impro01_F001,F01,/features/visual_features/Session1/Ses01F_impro01/Ses01F_impro01_F001.npy,/features/acoustic_features/Session1/Ses01F_impro01/Ses01F_impro01_F001.npy,/features/lexical_features/Session1/Ses01F_impro01/Ses01F_impro01_F001.npy,3
1,Ses01F_impro01_M011,M01,/features/visual_features/Session1/Ses01F_impro01/Ses01F_impro01_M011.npy,/features/acoustic_features/Session1/Ses01F_impro01/Ses01F_impro01_M011.npy,/features/lexical_features/Session1/Ses01F_impro01/Ses01F_impro01_M011.npy,0
2,Ses01F_impro02_F002,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F002.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F002.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F002.npy,1
3,Ses01F_impro02_F003,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F003.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F003.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F003.npy,3
4,Ses01F_impro02_F004,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F004.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F004.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F004.npy,1
5,Ses01F_impro02_F010,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F010.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F010.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F010.npy,1
6,Ses01F_impro02_F014,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F014.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F014.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F014.npy,1
7,Ses01F_impro02_F018,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F018.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F018.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F018.npy,3
8,Ses01F_impro02_F019,F01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_F019.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_F019.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_F019.npy,1
9,Ses01F_impro02_M005,M01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_M005.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_M005.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_M005.npy,1
10,Ses01F_impro02_M011,M01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_M011.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_M011.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_M011.npy,1
11,Ses01F_impro02_M014,M01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_M014.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_M014.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_M014.npy,1
12,Ses01F_impro02_M015,M01,/features/visual_features/Session1/Ses01F_impro02/Ses01F_impro02_M015.npy,/features/acoustic_features/Session1/Ses01F_impro02/Ses01F_impro02_M015.npy,/features/lexical_features/Session1/Ses01F_impro02/Ses01F_impro02_M015.npy,3
13,Ses01F_impro03_F005,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F005.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F005.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F005.npy,2
14,Ses01F_impro03_F006,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F006.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F006.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F006.npy,2
15,Ses01F_impro03_F008,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F008.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F008.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F008.npy,2
16,Ses01F_impro03_F009,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F009.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F009.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F009.npy,2
17,Ses01F_impro03_F018,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F018.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F018.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F018.npy,3
18,Ses01F_impro03_F021,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F021.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F021.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F021.npy,2
19,Ses01F_impro03_F022,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F022.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F022.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F022.npy,3
20,Ses01F_impro03_F023,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F023.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F023.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F023.npy,3
21,Ses01F_impro03_F024,F01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_F024.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_F024.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_F024.npy,2
22,Ses01F_impro03_M006,M01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_M006.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_M006.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_M006.npy,3
23,Ses01F_impro03_M008,M01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_M008.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_M008.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_M008.npy,3
24,Ses01F_impro03_M016,M01,/features/visual_features/Session1/Ses01F_impro03/Ses01F_impro03_M016.npy,/features/acoustic_features/Session1/Ses01F_impro03/Ses01F_impro03_M016.npy,/features/lexical_features/Session1/Ses01F_impro03/Ses01F_impro03_M016.npy,3
25,Ses01F_impro04_F000,F01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_F000.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_F000.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_F000.npy,3
26,Ses01F_impro04_F028,F01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_F028.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_F028.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_F028.npy,0
27,Ses01F_impro04_M000,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M000.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M000.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M000.npy,3
28,Ses01F_impro04_M002,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M002.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M002.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M002.npy,3
29,Ses01F_impro04_M005,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M005.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M005.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M005.npy,3
30,Ses01F_impro04_M007,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M007.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M007.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M007.npy,3
31,Ses01F_impro04_M011,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M011.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M011.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M011.npy,3
32,Ses01F_impro04_M012,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M012.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M012.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M012.npy,3
33,Ses01F_impro04_M013,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M013.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M013.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M013.npy,3
34,Ses01F_impro04_M014,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M014.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M014.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M014.npy,3
35,Ses01F_impro04_M016,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M016.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M016.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M016.npy,3
36,Ses01F_impro04_M017,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M017.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M017.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M017.npy,3
37,Ses01F_impro04_M019,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M019.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M019.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M019.npy,3
38,Ses01F_impro04_M020,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M020.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M020.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M020.npy,3
39,Ses01F_impro04_M022,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M022.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M022.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M022.npy,3
40,Ses01F_impro04_M023,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M023.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M023.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M023.npy,3
41,Ses01F_impro04_M027,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M027.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M027.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M027.npy,3
42,Ses01F_impro04_M028,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M028.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M028.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M028.npy,3
43,Ses01F_impro04_M032,M01,/features/visual_features/Session1/Ses01F_impro04/Ses01F_impro04_M032.npy,/features/acoustic_features/Session1/Ses01F_impro04/Ses01F_impro04_M032.npy,/features/lexical_features/Session1/Ses01F_impro04/Ses01F_impro04_M032.npy,3
44,Ses01F_impro05_F011,F01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_F011.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_F011.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_F011.npy,0
45,Ses01F_impro05_F014,F01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_F014.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_F014.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_F014.npy,0
46,Ses01F_impro05_F015,F01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_F015.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_F015.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_F015.npy,0
47,Ses01F_impro05_F019,F01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_F019.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_F019.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_F019.npy,0
48,Ses01F_impro05_F022,F01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_F022.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_F022.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_F022.npy,0
49,Ses01F_impro05_F024,F01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_F024.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_F024.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_F024.npy,0
50,Ses01F_impro05_F030,F01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_F030.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_F030.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_F030.npy,0
51,Ses01F_impro05_M000,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M000.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M000.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M000.npy,3
52,Ses01F_impro05_M003,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M003.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M003.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M003.npy,3
53,Ses01F_impro05_M004,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M004.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M004.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M004.npy,3
54,Ses01F_impro05_M006,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M006.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M006.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M006.npy,3
55,Ses01F_impro05_M015,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M015.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M015.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M015.npy,3
56,Ses01F_impro05_M017,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M017.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M017.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M017.npy,3
